Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,Game Faqs Match Title,Giant Bomb Match Title,Igdb Match Title,Metacritic Match Title,Moby Games Match Title,Rom Hacking Match Title,Steam Match Title,Hltb Match Title,Price Charting Match Title,Vg Chartz Match Title,Gameye Match Title,Game Jolt Match Title,Cooptimus Match Title,Arcade Database Match Title,Game Spot Match Title,Vndb Match Title
The Bard's Tale,PC,27/06/2005,NA,InXile Entertainment,InXile Entertainment,The Bard's Tale,Action RPG,,,,,The Bard's Tale,,,,,,,,,,,
A Game with a Kitty,PC,24/06/2005,NA,origamihero,origamihero,A Game with a Kitty,Side-Scrolling Platformer,,,,,,,,,,,,,,,,
Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki,Nintendo DS,23/06/2005,JP,Konami,Konami,Goemon,Puzzle Action,,,,,,,,,,,,,,,,
Zill O'll Infinite,PlayStation 2,23/06/2005,JP,Koei,Koei,Zill O'll,Turn-Based RPG,,,,,Zill O'll Infinite,,,,,,,,,,,
Mega Man Battle Network 5: Team ProtoMan,Game Boy Advance,21/06/2005,NA,Capcom,Capcom,Mega Man Battle Network,Strategy RPG,,,,,Mega Man Battle Network 5: Team Protoman,,,,,,,,,,,
Bomberman,Nintendo DS,21/06/2005,NA,Ubisoft,Racjin,Bomberman,Action,,,,,Bomberman,,,,,,,,,,,
Destroy All Humans!,PlayStation 2,21/06/2005,NA,THQ,Pandemic Studios,Destroy All Humans!,Action Adventure,,,,,Destroy All Humans!,,,,,,,,,,,
Romance of the Three Kingdoms X,PlayStation 2,21/06/2005,NA,Koei,Koei,Romance of the Three Kingdoms,Turn-Based Strategy,,,,,Romance of the Three Kingdoms X,,,,,,,,,,,
Conker: Live & Reloaded,Xbox,21/06/2005,NA,Microsoft Game Studios,Rare,Conker,3D Platformer,,,,,Conker: Live & Reloaded,,,,,,,,,,,
Arc the Lad: End of Darkness,PlayStation 2,14/06/2005,NA,Namco,Cattle Call,Arc the Lad,Action RPG,,,,,Arc the Lad: End of Darkness,,,,,,,,,,,
Kirby: Canvas Curse,Nintendo DS,13/06/2005,NA,Nintendo,HAL Laboratory,Kirby,Side-Scrolling Platformer,,,,,Kirby: Canvas Curse,,,,,,,,,,,
"2 Games in 1 Double Pack: Finding Nemo / Monsters, Inc.",Game Boy Advance,08/06/2005,NA,THQ,Vicarious Visions,,Action Adventure,,,,,,,,,,,"2 Games In 1 Double Pack: Finding Nemo / Monsters, Inc.",,,,,
Grand Theft Auto: San Andreas,PC,07/06/2005,NA,Rockstar Games,Rockstar North,Grand Theft Auto,Action Adventure,,,,,Grand Theft Auto: San Andreas,,,,,,,,,,,
Medal of Honor: European Assault,PlayStation 2,07/06/2005,NA,Electronic Arts,EA Los Angeles,Medal of Honor,First-Person Shooter,,,,,Medal of Honor: European Assault,,,,,,,,,,,
Samurai Western,PlayStation 2,07/06/2005,NA,Atlus,Acquire,Way of the Samurai,Action Adventure,,,,,Samurai Western,,,,,,,,,,,
Digimon World 4,Nintendo GameCube,01/06/2005,NA,Bandai,BEC,Digimon,Turn-Based RPG,,,,,Digimon World 4,,,,,,,,,,,
Assault Suits Valken,PlayStation 2,01/06/2005,EU,505 Game Street,Psikyo,Assault Suit,Action,,,,,,,,,,,,,,,,
Advent Rising,PC,31/05/2005,NA,Majesco Entertainment,GlyphX Games,,Action Adventure,,,,,Advent Rising,,,,,,,,,,,
Geneforge 3,PC,30/05/2005,NA,Spiderweb Software,Spiderweb Software,Geneforge,Computer RPG,,,,,Geneforge 3,,,,,,,,,,,
Namco x Capcom,PlayStation 2,26/05/2005,JP,Namco,Monolith Soft,,Strategy RPG,,,,,Namco x Capcom,,,,,,,,,,,
Tear Ring Saga: Berwick Saga,PlayStation 2,26/05/2005,JP,Enterbrain,Tirnanog,Tear Ring Saga,Strategy RPG,,,,,,,,,,,,,,,,
Double Dragon EX,J2ME,25/05/2005,NA,Elite Systems,Million,Double Dragon,Beat 'em Up,,,,,Double Dragon EX,,,,,,,,,,,
Gun Metal,PC,24/05/2005,NA,Strategy First,Rage Software,,Vehicular Combat,,,,,Gun Metal,,,,,,,,,,,
Classified: The Sentinel Crisis,Xbox,24/05/2005,NA,Global Star Software,Torus Games,,First-Person Shooter,,,,,Classified: The Sentinel Crisis,,,,,,,,,,,
Fate,PC,18/05/2005,NA,WildTangent,WildTangent,Fate,Action RPG,,,,,Fate,,,,,,,,,,,
Star Wars: Revenge of the Sith,ExEn,11/05/2005,NA,THQ,In-Fusio,Star Wars,Action Platformer,,,,,,,,,,,,,,,,
Cold Winter,PlayStation 2,11/05/2005,NA,Vivendi Universal Games,Swordfish Studios,,First-Person Shooter,,,,,Cold Winter,,,,,,,,,,,
Haunting Ground,PlayStation 2,10/05/2005,NA,Capcom,Capcom,,Survival Horror,,,,,Haunting Ground,,,,,,,,,,,
Donkey Konga 2,Nintendo GameCube,09/05/2005,NA,Nintendo,Namco,Donkey Kong,Rhythm,,,,,Donkey Konga 2,,,,,,,,,,,
Star Wars Episode III: Revenge of the Sith,Game Boy Advance,04/05/2005,NA,Ubisoft,Ubisoft,Star Wars,Beat 'em Up,,,,,,,,,,,,,,,,
Hot Shots Golf: Open Tee,PlayStation Portable,03/05/2005,NA,Sony Computer Entertainment,Clap Hanz,Everybody's Golf,Sports,,,,,Hot Shots Golf: Open Tee,,,,,,,,,,,
Forza Motorsport,Xbox,03/05/2005,NA,Microsoft Game Studios,Turn 10 Studios,Forza,Racing,,,,,Forza Motorsport,,,,,,,,,,,
Pac-Man Pinball Advance,Game Boy Advance,02/05/2005,NA,Namco,Human Soft,Pac-Man,Pinball,,,,,Pac-Man Pinball Advance,,,,,,,,,,,
Homeland,Nintendo GameCube,29/04/2005,JP,Chunsoft,Chunsoft,,Turn-Based RPG,,,,,,,,,,,,,,,,
Tears to Tiara,PC,28/04/2005,JP,Aquaplus,Leaf,Tears to Tiara,Visual Novel,,,,,Tears to Tiara,,,,,,,,,,,Tears to Tiara
Pac-Pix,Nintendo DS,26/04/2005,NA,Namco,Namco,Pac-Man,Puzzle,,,,,Pac-Pix,,,,,,,,,,,
Predator: Concrete Jungle,PlayStation 2,26/04/2005,NA,Vivendi Universal Games,Eurocom,Predator,Beat 'em Up,,,,,Predator: Concrete Jungle,,,,,,,,,,,
Stella Deus: The Gate of Eternity,PlayStation 2,26/04/2005,NA,Atlus,Pinegrow,,Strategy RPG,,,,,Stella Deus: The Gate of Eternity,,,,,,,,,,,
Rengoku: The Tower of Purgatory,PlayStation Portable,26/04/2005,NA,Konami,Neverland,Rengoku,Action Adventure,,,,,Rengoku: The Tower of Purgatory,,,,,,,,,,,
Area 51,PlayStation 2,25/04/2005,NA,Midway,Midway Austin,Area 51,First-Person Shooter,,,,,,,,,,,,,,,,
Stolen,PlayStation 2,21/04/2005,NA,Hip Games,Blue 52,,Stealth Action,,,,,Stolen,,,,,,,,,,,
Raze's Hell,Xbox,21/04/2005,NA,Majesco Entertainment,Artech Digital Entertainment,,Third-Person Shooter,,,,,Raze's Hell,,,,,,,,,,,
Polarium,Nintendo DS,18/04/2005,NA,Nintendo,Mitchell Corporation,,Puzzle,,,,,Polarium,,,,,,,,,,,
Stronghold 2,PC,18/04/2005,NA,2K Games,Firefly Studios,Stronghold,Real-Time Strategy,,,,,FireFly Studios' Stronghold 2,,,,,,,,,,,
Still Life,PC,15/04/2005,NA,The Adventure Company,Microïds,Still Life,Adventure,,,,,Still Life,,,,,,,,,,,Still Life
SNK vs. Capcom: SVC Chaos,PlayStation 2,15/04/2005,NA,SNK,SNK,SNK vs. Capcom,Fighting,,,,,,,,,,,,,,,,
Tengai Makyō III: Namida,PlayStation 2,14/04/2005,JP,Hudson,Hudson,Far East of Eden,Turn-Based RPG,,,,,Tengai Makyō III: Namida,,,,,,,,,,,
Dead to Rights II,PlayStation 2,12/04/2005,NA,Namco,Widscreen Games,Dead to Rights,Third-Person Shooter,,,,,Dead to Rights II,,,,,,,,,,,
Midnight Club 3: Dub Edition,PlayStation 2,11/04/2005,NA,Rockstar Games,Rockstar San Diego,Midnight Club,Racing,,,,,Midnight Club 3: DUB Edition,,,,,,,,,,,
Trizeal,Sega Dreamcast,07/04/2005,JP,Triangle Service,Triangle Service,,Scrolling Shooter,,,,,Trizeal,,,,,,,,,,,
Obscure,PC,06/04/2005,NA,DreamCatcher Interactive,Hydravision Entertainment,Obscure,Survival Horror,,,,,ObsCure,,,,,,,,Obscure,,,
Obscure,PlayStation 2,06/04/2005,NA,DreamCatcher Interactive,Hydravision Entertainment,Obscure,Survival Horror,,,,,ObsCure,,,,,,,,Obscure,,,
Archer Maclean's Mercury,PlayStation Portable,06/04/2005,NA,Ignition Entertainment,Awesome Studios,Mercury,Puzzle Platformer,,,,,Archer Maclean's Mercury,,,,,,,,,,,
Rise of the Kasai,PlayStation 2,05/04/2005,NA,Sony Computer Entertainment,BottleRocket Entertainment,The Mark of Kri,Action Adventure,,,,,Rise of the Kasai,,,,,,,,,,,
Shin Megami Tensei: Digital Devil Saga,PlayStation 2,05/04/2005,NA,Atlus,Atlus,Megami Tensei,Turn-Based RPG,,,,,Shin Megami Tensei: Digital Devil Saga,,,,,,,,,,,
Lethal Enforcers 3,Arcade,01/04/2005,NA,Konami,Polygon Magic,Lethal Enforcers,Rail Shooter,,,,,Lethal Enforcers 3,,,,,,,,,,,
Stronghold Crusader Extreme,PC,01/04/2005,NA,2K Games,Firefly Studios,Stronghold,Real-Time Strategy,,,,,Stronghold Crusader Extreme,,,,,,,,,,,
Red Ninja: End of Honor,PlayStation 2,30/03/2005,NA,Vivendi Universal Games,Tranji Studios,,Stealth Action,,,,,Red Ninja: End of Honor,,,,,,,,,,,
Dynasty Warriors 5,PlayStation 2,29/03/2005,NA,Koei,Omega Force,Dynasty Warriors,Hack-and-Slash,,,,,Dynasty Warriors 5,,,,,,,,Dynasty Warriors 5,,,
SpikeOut: Battle Street,Xbox,29/03/2005,NA,Sega,Dimps,SpikeOut,Beat 'em Up,,,,,Spikeout: Battle Street,,,,,,,,Spikeout: Battle Street,,,
Tom Clancy's Splinter Cell: Chaos Theory,PlayStation 2,28/03/2005,NA,Ubisoft,Ubisoft Montreal,Splinter Cell,Stealth Action,,,,,Tom Clancy's Splinter Cell: Chaos Theory,,,,,,,,,,,
Giga Wing Generations,PlayStation 2,24/03/2005,NA,Taito,Takumi Corporation,Giga Wing,Scrolling Shooter,,,,,,,,,,,,,GigaWing Generations,,,
Darkstalkers Chronicle: The Chaos Tower,PlayStation Portable,24/03/2005,NA,Capcom,Capcom Production Studio 5,Darkstalkers,Fighting,,,,,Darkstalkers Chronicle: The Chaos Tower,,,,,,,,,,,
Twisted Metal: Head-On,PlayStation Portable,24/03/2005,NA,Sony Computer Entertainment,Incognito Entertainment,Twisted Metal,Vehicular Combat,,,,,Twisted Metal: Head-On,,,,,,,,,,,
Wipeout Pure,PlayStation Portable,24/03/2005,NA,Sony Computer Entertainment,Sony Studio Liverpool,Wipeout,Racing,,,,,WipEout Pure,,,,,,,,,,,
Shining Tears,PlayStation 2,22/03/2005,NA,Sega,Nextech,Shining,Action RPG,,,,,Shining Tears,,,,,,,,Shining Tears,,,
Metal Gear Acid,PlayStation Portable,22/03/2005,NA,Konami,Konami,Metal Gear,Stealth Action,,,,,,,,,,,,,,,,
Ridge Racer,PlayStation Portable,22/03/2005,NA,Namco,Namco,Ridge Racer,Racing,,,,,Ridge Racer,,,,,,,,,,,
Untold Legends: Brotherhood of the Blade,PlayStation Portable,22/03/2005,NA,Sony Online Entertainment,Sony Online Entertainment,Untold Legends,Action RPG,,,,,Untold Legends: Brotherhood of the Blade,,,,,,,,,,,
TimeSplitters: Future Perfect,PlayStation 2,21/03/2005,NA,Eidos Interactive,Free Radical Design,TimeSplitters,First-Person Shooter,,,,,TimeSplitters: Future Perfect,,,,,,,,TimeSplitters: Future Perfect,,,
Donkey Konga 3,Nintendo GameCube,17/03/2005,JP,Nintendo,Namco,Donkey Kong,Rhythm,,,,,Donkey Konga 3: Tabe-houdai! Haru Mogitate 50 Kyoku,,,,,,,,,,,
Dynasty Warriors,PlayStation Portable,16/03/2005,NA,Koei,Omega Force,Dynasty Warriors,Hack-and-Slash,,,,,Dynasty Warriors,,,,,,,,,,,
Rayman: Hoodlum's Revenge,Game Boy Advance,15/03/2005,NA,Ubisoft,Backbone Entertainment,Rayman,Side-Scrolling Platformer,,,,,Rayman: Hoodlum's Revenge,,,,,,,,,,,
Cold Fear,PlayStation 2,15/03/2005,NA,Ubisoft,Darkworks,,Survival Horror,,,,,Cold Fear,,,,,,,,,,,
Super Monkey Ball Deluxe,PlayStation 2,15/03/2005,NA,Sega,Sega,Super Monkey Ball,3D Platformer,,,,,Super Monkey Ball Deluxe,,,,,,,,,,,
Donkey Kong Jungle Beat,Nintendo GameCube,14/03/2005,NA,Nintendo,Nintendo EAD,Donkey Kong,Side-Scrolling Platformer,,,,,,,,,,,,,,,,
Pokémon Dash,Nintendo DS,13/03/2005,NA,Nintendo,Ambrella,Pokémon,Racing,,,,,Pokémon Dash,,,,,,,,,,,
Rave Master,Nintendo GameCube,08/03/2005,NA,Konami,Konami,Rave Master,Fighting,,,,,,,,,,,,,,,,
Brothers in Arms: Road to Hill 30,PC,08/03/2005,NA,Ubisoft,Gearbox Software,Brothers in Arms,First-Person Shooter,,,,,Brothers in Arms: Road to Hill 30,,,,,,,,,,,
Freedom Force vs. the 3rd Reich,PC,08/03/2005,NA,Irrational Games,Irrational Games,Freedom Force,Real-Time Tactics,,,,,,,,,,,,,,,,
Psychotoxic,PC,08/03/2005,NA,Whiptail Interactive,NuClearVision Entertainment,,First-Person Shooter,,,,,Psychotoxic,,,,,,,,,,,
Judge Dredd: Dredd vs. Death,PC,03/03/2005,NA,Evolved Games,Rebellion Developments,Judge Dredd,First-Person Shooter,,,,,,,,,,,,,Judge Dredd: Dredd vs. Death,,,
Star Wars: Republic Commando,PC,01/03/2005,NA,LucasArts,LucasArts,Star Wars,First-Person Shooter,,,,,Star Wars: Republic Commando,,,,,,,,,,,
Devil May Cry 3: Dante's Awakening,PlayStation 2,01/03/2005,NA,Capcom,Capcom,Devil May Cry,Hack-and-Slash,,,,,Devil May Cry 3: Dante's Awakening,,,,,,,,,,,
Ice Nine,Game Boy Advance,28/02/2005,NA,BAM! Entertainment,Torus Games,,First-Person Shooter,,,,,Ice Nine,,,,,,,,,,,
American McGee Presents: Scrapland,Xbox,28/02/2005,NA,Enlight Software,MercurySteam,,Action Adventure,,,,,,,,,,,,,,,,
Altered Beast,PlayStation 2,25/02/2005,EU,Sega,Sega,Altered Beast,Beat 'em Up,,,,,Altered Beast,,,,,,,,,,,
Tekken 5,PlayStation 2,24/02/2005,NA,Namco,Namco,Tekken,Fighting,,,,,Tekken 5,,,,,,,,,,,
Klonoa 2: Dream Champ Tournament,Game Boy Advance,23/02/2005,NA,Namco,Now Production,Klonoa,Side-Scrolling Platformer,,,,,Klonoa 2: Dream Champ Tournament,,,,,,,,,,,
Ace Combat Advance,Game Boy Advance,22/02/2005,NA,Namco,HumanSoft,Ace Combat,Flight Simulation,,,,,Ace Combat Advance,,,,,,,,,,,
Gran Turismo 4,PlayStation 2,22/02/2005,NA,Sony Computer Entertainment,Polyphony Digital,Gran Turismo,Racing,,,,,Gran Turismo 4,,,,,,,,,,,
Kessen III,PlayStation 2,22/02/2005,NA,Koei,Koei,Kessen,Real-Time Tactics,,,,,Kessen III,,,,,,,,,,,
Project: Snowblind,PlayStation 2,22/02/2005,NA,Eidos Interactive,Crystal Dynamics,,First-Person Shooter,,,,,Project: Snowblind,,,,,,,,,,,
Ys: The Ark of Napishtim,PlayStation 2,22/02/2005,NA,Konami,Konami,Ys,Action RPG,,,,,,,,,,,,,,,,
Second Sight,PC,18/02/2005,NA,Codemasters,Free Radical Design,,Stealth Action,,,,,Second Sight,,,,,,,,,,,
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,Game Boy Advance,15/02/2005,NA,Konami,Konami,Yu-Gi-Oh!,Card Game,,,,,,,,,,,,,,,,
Nano Breaker,PlayStation 2,15/02/2005,NA,Konami,Konami,,Hack-and-Slash,,,,,Nano Breaker,,,,,,,,,,,
Tenchu: Fatal Shadows,PlayStation 2,15/02/2005,NA,Sega,K2,Tenchu,Action Adventure,,,,,Tenchu: Fatal Shadows,,,,,,,,,,,
Xenosaga Episode II: Jenseits von Gut und Böse,PlayStation 2,15/02/2005,NA,Namco,Monolith Soft,Xeno,Turn-Based RPG,,,,,,,,,,,,,,,,
WarioWare: Touched!,Nintendo DS,14/02/2005,NA,Nintendo,Nintendo SPD,WarioWare,Minigame Collection,,,,,WarioWare: Touched!,,,,,,,,,,,
"Shaman King: Legacy of the Spirits, Soaring Hawk",Game Boy Advance,08/02/2005,NA,Konami,Konami,Shaman King,Turn-Based RPG,,,,,,,,,,,,,,,,
Star Wars: Knights of the Old Republic II - The Sith Lords,PC,08/02/2005,NA,LucasArts,Obsidian Entertainment,Star Wars: Knights of the Old Republic,Action RPG,,,,,Star Wars: Knights of the Old Republic II - The Sith Lords,,,,,,,,,,,
Shadow of Rome,PlayStation 2,08/02/2005,NA,Capcom,Capcom Production Studio 2,,Hack-and-Slash,,,,,Shadow of Rome,,,,,,,,,,,
Tekken's Nina Williams in: Death by Degrees,PlayStation 2,08/02/2005,NA,Namco,Namco,Tekken,Action Adventure,,,,,,,,,,,,,,,,
Champions: Return to Arms,PlayStation 2,07/02/2005,NA,Sony Online Entertainment,Snowblind Studios,EverQuest,Action RPG,,,,,Champions: Return to Arms,,,,,,,,Champions: Return to Arms,,,
Another Century's Episode,PlayStation 2,27/01/2005,JP,Banpresto,FromSoftware,Another Century's Episode,Vehicular Combat,,,,,Another Century's Episode,,,,,,,,,,,
SSX Out of Bounds,N-Gage,24/01/2005,NA,Nokia,EA Sports Big,SSX,Sports,,,,,,,,,,,,,,,,
Steel Dragon EX,PlayStation 2,20/01/2005,EU,Midas Interactive Entertainment,Warashi,Simple 2000 Series,Scrolling Shooter,,,,,Steel Dragon EX,,,,,,,,,,,
Shinseiki Evangelion: Koutetsu no Girlfriend 2nd,PlayStation Portable,20/01/2005,JP,Broccoli,Gainax,Evangelion,Visual Novel,,,,,,,,,,,,,,,,Shinseiki Evangelion Koutetsu no Girlfriend 2nd
Virtua Quest,Nintendo GameCube,19/01/2005,NA,Sega,TOSE,Virtua Fighter,Action Adventure,,,,,Virtua Quest,,,,,,,,,,,
Fullmetal Alchemist and the Broken Angel,PlayStation 2,18/01/2005,NA,Square Enix,Racjin,Fullmetal Alchemist,Action RPG,,,,,Fullmetal Alchemist and the Broken Angel,,,,,,,,,,,
The Punisher,PlayStation 2,16/01/2005,NA,THQ,Volition,The Punisher,Third-Person Shooter,,,,,The Punisher,,,,,,,,,,,
Yoshitsune Eiyūden: The Story of Hero Yoshitsune,PlayStation 2,13/01/2005,JP,FromSoftware,FromSoftware,,Hack-and-Slash,,,,,,,,,,,,,,,,
Banjo-Pilot,Game Boy Advance,12/01/2005,NA,THQ,Rare,Banjo-Kazooie,Racing,,,,,,,,,,,,,,,,
The King of Fighters Extreme,N-Gage,12/01/2005,NA,Nokia,Hudson,The King of Fighters,Fighting,,,,,,,,,,,,,,,,
Tork: Prehistoric Punk,Xbox,12/01/2005,NA,Ubisoft,Tiwak,,3D Platformer,,,,,Tork: Prehistoric Punk,,,,,,,,,,,
Mercenaries: Playground of Destruction,PlayStation 2,11/01/2005,NA,LucasArts,Pandemic Studios,Mercenaries,Action Adventure,,,,,Mercenaries: Playground of Destruction,,,,,,,,,,,
Suikoden IV,PlayStation 2,11/01/2005,NA,Konami,Konami,Suikoden,Turn-Based RPG,,,,,Suikoden IV,,,,,,,,,,,
The Getaway: Black Monday,PlayStation 2,11/01/2005,NA,Sony Computer Entertainment,London Studio,The Getaway,Action Adventure,,,,,The Getaway: Black Monday,,,,,,,,,,,
Tales of the World: Narikiri Dungeon 3,Game Boy Advance,06/01/2005,JP,Namco,Alfa System,Tales,Strategy RPG,,,,,,,,,,,,,,,,
Crash Bandicoot,ExEn,01/01/2005,NA,In-Fusio,Kaolink,Crash Bandicoot,Action Platformer,,,,,,,,,,,,,,,,
Tiny Toon Adventures: Buster's Bad Dream,Game Boy Advance,01/01/2005,NA,Swing! Entertainment Media,Treasure,Tiny Toon Adventures,Beat 'em Up,,,,,,,,,,,,,,,,
Her Knights: All for the Princess,GamePark 32,01/01/2005,EU,Byulbram Creature,Byulbram Creature,Her Knights,Beat 'em Up,,,,,,,,,,,,,,,,
Alpha Wing 2,J2ME,01/01/2005,NA,Glu Mobile,Glu Mobile,Alpha Wing,Scrolling Shooter,,,,,,,,,,,,,,,,
Crash Twinsanity 3D,J2ME,01/01/2005,NA,Vivendi Games,Kuju Entertainment,Crash Bandicoot,3D Platformer,,,,,Crash Twinsanity 3D,,,,,,,,,,,
Death Trap,J2ME,01/01/2005,NA,Funmobile Limited,Funmobile Limited,Death Trap,Survival Horror,,,,,,,,,,,,,,,,
Destroy All Humans!,J2ME,01/01/2005,NA,THQ,Big Blue Bubble,Destroy All Humans!,Action,,,,,Destroy All Humans!,,,,,,,,,,,
Red Faction,J2ME,01/01/2005,NA,THQ,Blue Beck,Red Faction,Action,,,,,Red Faction,,,,,,,,,,,
An Hei Po Huai Shen,NES,01/01/2005,CN,Shenzhen Nanjing Technology,Shenzhen Nanjing Technology,,Action RPG,,,,,,,,,,,,,,,,
Final Fantasy VII,NES,01/01/2005,CN,Shenzhen Nanjing Technology,Shenzhen Nanjing Technology,,Turn-Based RPG,,,,,,,,,,,,,,,,
Pathway to Glory: Ikusa Islands,N-Gage,01/01/2005,NA,Nokia,Ubisoft RedLynx,Pathway to Glory,Turn-Based Tactics,,,,,Pathway to Glory: Ikusa Islands,,,,,,,,,,,
Boundless Ocean,PC,01/01/2005,NA,"Hardi Gosal, Setu Firestorm","Hardi Gosal, Setu Firestorm",,Turn-Based RPG,,,,,,,,,,,,,,,,
Lugaru HD,PC,01/01/2005,NA,Wolfire Games,Wolfire Games,Lugaru,Action,,,,,,,,,,,,,,,,
Cyclone Action,Timetop GameKing,01/01/2005,AS,Timetop,Timetop,,Run and Gun,,,,,,,,,,,,,,,,
Explorer,Timetop GameKing,01/01/2005,AS,Timetop,Timetop,,Scrolling Shooter,,,,,,,,,,,,,,,,
Magician,Timetop GameKing,01/01/2005,AS,Timetop,Timetop,,Action,,,,,,,,,,,,,,,,
2030,Timetop GameKing III,01/01/2005,AS,Timetop,Timetop,2003,Scrolling Shooter,,,,,,,,,,,,,,,,
Galaxy Crisis,Timetop GameKing III,01/01/2005,AS,Timetop,Timetop,,Scrolling Shooter,,,,,,,,,,,,,,,,
Titenic,NES,01/01/2005,CN,ABAB Soft,Hummer Team,,Beat 'em Up,,,,,,,,,,,,,,,,
Animal Crossing: Wild World,Nintendo DS,05/12/2005,NA,Nintendo,Nintendo EAD,Animal Crossing,Simulation,,,,,Animal Crossing: Wild World,,,,,,,,,,,
Mario & Luigi: Partners in Time,Nintendo DS,28/11/2005,NA,Nintendo,AlphaDream,Mario & Luigi,Turn-Based RPG,,,,,Mario & Luigi: Partners in Time,,,,,,,,,,,
Call of Duty 2,Xbox 360,22/11/2005,NA,Activision,Infinity Ward,Call of Duty,First-Person Shooter,,,,,Call of Duty 2,,,,,,,,,,,
Geometry Wars: Retro Evolved,Xbox 360,22/11/2005,NA,Microsoft Game Studios,Bizarre Creations,Geometry Wars,Twin-Stick Shooter,,,,,Geometry Wars: Retro Evolved,,,,,,,,,,,
Mario Kart DS,Nintendo DS,14/11/2005,NA,Nintendo,Nintendo EAD,Mario Kart,Racing,,,,,Mario Kart DS,,,,,,,,,,,
Mario Party 7,Nintendo GameCube,07/11/2005,NA,Nintendo,Hudson Soft,Mario Party,Board Game,,,,,Mario Party 7,,,,,,,,,,,
Gunstar Super Heroes,Game Boy Advance,25/10/2005,NA,Sega,Treasure,Gunstar,Run and Gun,,,,,Gunstar Super Heroes,,,,,,,,,,,
Castlevania: Dawn of Sorrow,Nintendo DS,04/10/2005,NA,Konami,Konami,Castlevania,Metroidvania,,,,,Castlevania: Dawn of Sorrow,,,,,,,,,,,
Ultimate Spider-Man,Nintendo DS,19/09/2005,NA,Activision,Vicarious Visions,Spider-Man,Beat 'em Up,,,,,Ultimate Spider-Man,,,,,,,,,,,
Meteos,Nintendo DS,27/06/2005,NA,Bandai,Q Entertainment,Meteos,Puzzle,,,,,Meteos,,,,,,,,,,,
Fire Emblem: The Sacred Stones,Game Boy Advance,23/05/2005,NA,Nintendo,Intelligent Systems,Fire Emblem,Strategy RPG,,,,,Fire Emblem: The Sacred Stones,,,,,,,,,,,
WarioWare Twisted!,Game Boy Advance,23/05/2005,NA,Nintendo,Nintendo SPD,WarioWare,Minigame Collection,,,,,,,,,,,,,,,,
Pokémon Emerald,Game Boy Advance,01/05/2005,NA,Nintendo,Game Freak,Pokémon,Turn-Based RPG,,,,,Pokémon Emerald Version,,,,,,,,,,,
Psychonauts,PC,19/04/2005,NA,Majesco Entertainment,Double Fine Productions,Psychonauts,3D Platformer,,,,,Psychonauts,,,,,,,,,,,
Puyo Pop Fever,Game Boy Advance,24/03/2005,NA,Sega,Sonic Team,Puyo Puyo,Puzzle,,,,,Puyo Pop Fever,,,,,,,,,,,
God of War,PlayStation 2,22/03/2005,NA,Sony Computer Entertainment,SCE Santa Monica Studio,God of War,Hack-and-Slash,,,,,God of War,,,,,,God of War,,,,,
Yoshi Touch & Go,Nintendo DS,14/03/2005,NA,Nintendo,Nintendo EAD,Yoshi,Side-Scrolling Platformer,,,,,Yoshi Touch & Go,,,,,,,,,,,
Resident Evil 4,Nintendo GameCube,11/01/2005,NA,Capcom,Capcom,Resident Evil,Third-Person Shooter,,,,,Resident Evil 4,,,,,,,,,,,
The Legend of Zelda: The Minish Cap,Game Boy Advance,10/01/2005,NA,Nintendo,Capcom,The Legend of Zelda,Action Adventure,,,,,The Legend of Zelda: The Minish Cap,,,,,,,,,,,
The King of Fighters '94 Re-Bout,PlayStation 2,28/12/2004,JP,SNK,SNK,The King of Fighters,Fighting,,,,,The King of Fighters '94 Re-bout,,,,,,,,,,,
MechAssault 2: Lone Wolf,Xbox,28/12/2004,NA,Microsoft Game Studios,Day 1 Studios,BattleTech,Vehicular Combat,,,,,MechAssault 2: Lone Wolf,,,,,,,,,,,
Shadow Vault,PC,22/12/2004,NA,Strategy First,Mayhem Studios,,Turn-Based Tactics,,,,,Shadow Vault,,,,,,,,,,,
Dragon Quest & Final Fantasy in Itadaki Street Special,PlayStation 2,22/12/2004,JP,Square Enix,Square Enix,Itadaki Street,Board Game,,,,,Dragon Quest & Final Fantasy in Itadaki Street Special,,,,,,,,,,,
Metal Wolf Chaos,Xbox,22/12/2004,JP,Microsoft Studios,FromSoftware,Metal Wolf Chaos,Third-Person Shooter,,,,,Metal Wolf Chaos,,,,,,,,,,,
Blue Angelo: Angels from the Shrine,GamePark 32,16/12/2004,EU,Shibuya Interactive,Virtual Spaghetti,,Action RPG,,,,,,,,,,,,,,,,
Super Robot Taisen GC,Nintendo GameCube,16/12/2004,JP,Banpresto,AI,Super Robot Wars,Strategy RPG,,,,,,,,,,,,,,,,
Tales of Rebirth,PlayStation 2,16/12/2004,JP,Namco,Namco Tales Studio,Tales,Turn-Based RPG,,,,,Tales of Rebirth,,,,,,,,,,,
Gungriffon: Allied Strike,Xbox,14/12/2004,NA,Tecmo,Game Arts,Gungriffon,Vehicular Combat,,,,,Gungriffon: Allied Strike,,,,,,,,,,,
Bad Mojo Redux,PC,10/12/2004,NA,Acclaim Entertainment,Pulse Entertainment,,Adventure,,,,,,,,,,,,,,,,
